POS_MSISDN,Distributer,Plan Name,Customer Tenure,Tenure Category,Status,Status Reason,Segment1,Segment2,Churn Flag,Customer Interaction Score,Loyalty Points,Data Usage Tier,Customer Segment Change Flag
ORG3592,FNTFRPRJTF TBLFT TTPDL,Humat Al Watan 8,118,Medium-term,Active,Good Service,Prepaid,Corporate,0,5,65,3,TRUE
ORG3029,HPLDFN NBRL,Premium Orange Plan,116,Medium-term,Hard Suspended,Violation of terms,Prepaid,Residential,0,5,68,1,FALSE
ORG2833,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,141,Long-term,Soft Suspended,Service upgrade,Prepaid,Residential,0,7,75,1,FALSE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,40,Short-term,Deactive,Network Issues,Postpaid,Corporate,1,1,55,2,FALSE
ORG3925,HPLDFN XJNHT,Family Orange Plan 20,115,Medium-term,Hard Suspended,Illegal usage,Prepaid,Residential,0,2,81,1,FALSE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Humat Al Watan 8,139,Long-term,Active,Good Service,Prepaid,Corporate,0,5,85,3,TRUE
ORG3181,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,83,Short-term,Soft Suspended,Technical issue,Prepaid,Residential,0,8,55,1,TRUE
ORG3997,HPLDFN XJNHT,Student Plan 5,19,Short-term,Deactive,Network Issues,Prepaid,Residential,1,6,52,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,63,Short-term,Active,Good Service,Postpaid,Corporate,0,8,65,2,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Unknown,104,Medium-term,Active,Good Service,Postpaid,Corporate,0,8,65,3,FALSE
ORG3120,NBDBBB THPP JT THPP,Visitors’ Line Extra,110,Medium-term,Active,Good Service,Prepaid,Residential,0,2,65,3,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,69,Short-term,Active,Good Service,Postpaid,Corporate,1,8,65,2,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Humat Al Watan 8,105,Medium-term,Active,Good Service,Prepaid,Corporate,1,5,65,3,TRUE
ORG3132,ZBRRB LJNH HVTTJFN TTRFFT,Orange 90,95,Medium-term,Active,Good Service,Postpaid,Residential,1,7,65,3,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,40,Short-term,Deactive,Price,Postpaid,Corporate,1,7,75,2,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Price,Postpaid,Corporate,1,9,32,2,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Better Offer Elsewhere,Postpaid,Corporate,1,1,27,2,TRUE
ORG4034,HPLDFN NBRL,Student Plan 5,152,Long-term,Soft Suspended,Service upgrade,Prepaid,Residential,1,9,75,1,FALSE
ORG2253,BLBBTHFR FPR TRBDF BND DJTTRJBVTJPN,Basic Orange Plan,87,Medium-term,Hard Suspended,Non-payment,Prepaid,Residential,1,4,12,1,TRUE
ORG2495,FRBNDHJTF  BLJBBBL BLTHBNBLJ,Premium Orange Plan,83,Short-term,Hard Suspended,Non-payment,Prepaid,Residential,0,10,54,1,TRUE
ORG2495,FRBNDHJTF-DJTZ NBLL,Orange 60,134,Long-term,Hard Suspended,Non-payment,Postpaid,Residential,0,4,65,2,TRUE
ORG3132,TXFJFJFH THPP (ND),Visitors’ Line Extra,138,Long-term,Active,Good Service,Prepaid,Residential,1,6,85,3,TRUE
ORG3085,BLBBTHFR FPR TRBDF BND DJTTRJBVTJPN,Basic Orange Plan,68,Short-term,Soft Suspended,Technical issue,Prepaid,Residential,0,8,55,1,FALSE
ORG3489,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Basic Orange Plan,120,Long-term,Active,Good Service,Prepaid,Residential,0,7,65,1,TRUE
ORG2712,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,4,Short-term,Deactive,Moved,Prepaid,PRO,1,6,24,2,FALSE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Economy Plan,148,Long-term,Active,Good Service,Postpaid,Corporate,0,5,85,3,TRUE
ORG2980,HPLDFN NBRL,Student Plan 5,98,Medium-term,Soft Suspended,Document verification,Prepaid,Residential,0,10,55,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Economy Plan,145,Long-term,Active,Good Service,Postpaid,Corporate,0,8,85,3,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Network Issues,Postpaid,Corporate,1,4,68,2,FALSE
ORG3369,BL-TBLT THPP (JT),Visitors’ Line Extra,59,Short-term,Deactive,Network Issues,Prepaid,Residential,1,7,34,3,TRUE
ORG2441,FRBNDHJTF BRBBB TBBDBH TT.,Student Plan 5,133,Long-term,Soft Suspended,Document verification,Prepaid,Residential,0,9,75,1,FALSE
ORG3145,FRBNDHJTF NBFRBR THPP,Basic Orange Plan,94,Medium-term,Hard Suspended,Non-payment,Prepaid,Residential,0,5,73,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 30,140,Long-term,Active,Good Service,Postpaid,PRO,1,7,85,3,TRUE
ORG4277,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Family Orange Plan 10,135,Long-term,Soft Suspended,Customer request,Prepaid,Residential,1,7,75,1,FALSE
ORG2805,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Premium Orange Plan,100,Medium-term,Deactive,Contract Ended,Prepaid,Residential,1,7,49,1,TRUE
ORG3132,TXFJFJFH DFNTFR,Family Orange Plan 10,142,Long-term,Soft Suspended,Service upgrade,Prepaid,Residential,0,9,75,1,TRUE
ORG2712,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,130,Long-term,Hard Suspended,Non-payment,Prepaid,PRO,0,5,65,2,TRUE
ORG3132,TXFJFJFH DFNTFR,Family Orange Plan 20,128,Long-term,Hard Suspended,Fraudulent activity,Prepaid,Residential,0,6,65,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 45,6,Short-term,Deactive,Contract Ended,Postpaid,Corporate,1,4,89,3,FALSE
ORG3176,BL-BNXBR PPTT,Orange 90,76,Short-term,Active,Good Service,Postpaid,Residential,0,6,65,3,TRUE
ORG3132,TLB' BL-BLJ DFNTFR,Orange 90,15,Short-term,Deactive,Better Offer Elsewhere,Postpaid,Residential,1,5,67,3,FALSE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,41,Short-term,Deactive,Technical Difficulties,Postpaid,Corporate,1,6,67,2,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,YO 9 Max,63,Short-term,Active,Good Service,Prepaid,Corporate,0,8,65,1,FALSE
ORG2251,BLBBTHFR FPR TRBDF BND DJTTRJBVTJPN,Visitors' Line,95,Medium-term,Deactive,Network Issues,Prepaid,Residential,1,4,29,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Business Plan,4,Short-term,Deactive,Network Issues,Postpaid,Corporate,1,10,78,3,TRUE
ORG4425,HPLDFN NBRL,Orange 13 Max,89,Medium-term,Active,Good Service,Prepaid,Residential,0,5,65,1,TRUE
ORG3181,HPLDFN NBRL,Student Plan 5,148,Long-term,Soft Suspended,Customer request,Prepaid,Residential,0,10,75,1,TRUE
ORG3448,BJRPPRT TFRNJNBL 1,Orange 8 Max,74,Short-term,Hard Suspended,Violation of terms,Prepaid,Residential,0,9,84,1,TRUE
ORG2660,HPLDFN NBRL,Student Plan 5,146,Long-term,Soft Suspended,Technical issue,Prepaid,Residential,0,6,75,1,TRUE
ORG3145,FRBNDHJTF NBRLB (PLD PRBNHF NBRLB JT THPP),Orange 90,15,Short-term,Deactive,Personal Reasons,Postpaid,Residential,1,6,70,3,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Price,Postpaid,Corporate,1,6,83,2,TRUE
ORG2495,FRBNDHJTF-DJTZ NBLL,Senior Plan,38,Short-term,Deactive,Lack of Usage,Postpaid,Residential,1,5,77,2,FALSE
ORG3048,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Basic Orange Plan,111,Medium-term,Hard Suspended,Fraudulent activity,Prepaid,Residential,0,4,23,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Personal Reasons,Postpaid,Corporate,1,6,54,2,TRUE
ORG3048,HPLDFN NBRL,Orange 13 Max,84,Short-term,Active,Good Service,Prepaid,Residential,0,6,65,1,FALSE
ORG4101,FRBNDHJTF - TBFFXBZ THNBJTBNJ,Basic Orange Plan,122,Long-term,Hard Suspended,Fraudulent activity,Prepaid,Residential,1,1,65,1,FALSE
ORG2980,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Family Orange Plan 10,152,Long-term,Hard Suspended,Illegal usage,Prepaid,Residential,1,3,65,1,FALSE
ORG3176,HPLDFN NBRL,Student Plan 5,147,Long-term,Soft Suspended,Technical issue,Prepaid,Residential,1,6,75,1,TRUE
ORG2973,HPLDFN NBRL,Student Plan 5,142,Long-term,Soft Suspended,Customer request,Prepaid,Residential,0,7,75,1,FALSE
ORG2495,HPLDFN NBRL,Orange 13 Max,68,Short-term,Soft Suspended,Technical issue,Prepaid,Residential,0,10,55,1,FALSE
ORG3132,TXFJFJFH DFNTFR,Basic Orange Plan,151,Long-term,Hard Suspended,Fraudulent activity,Prepaid,Residential,0,8,65,1,FALSE
ORG2597,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,78,Short-term,Active,Good Service,Prepaid,PRO,0,3,65,2,FALSE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,41,Short-term,Deactive,Service Quality,Postpaid,Corporate,1,5,27,2,TRUE
ORG4233,BJRPPRT TFRNJNBL 1,Traveler's Plan,153,Long-term,Hard Suspended,Illegal usage,Prepaid,Residential,0,5,65,1,TRUE
ORG3484,HPLDFN NBRL,Student Plan 5,135,Long-term,Soft Suspended,Document verification,Prepaid,Residential,0,8,75,1,TRUE
ORG3484,DJRFDT PVTTPVRDF THPP,Orange 45,11,Short-term,Deactive,Service Quality,Postpaid,PRO,1,5,89,3,TRUE
ORG4080,BLBBTHFR FPR TRBDF BND DJTTRJBVTJPN,Student Plan 5,92,Medium-term,Soft Suspended,Customer request,Prepaid,Residential,0,8,55,1,FALSE
ORG3484,DJRFDT PVTTPVRDF THPP,Orange 60,117,Medium-term,Active,Good Service,Postpaid,PRO,0,8,65,3,TRUE
ORG3369,BRBBB THPP (ND),Traveler's Plan,116,Medium-term,Active,Good Service,Prepaid,Corporate,0,5,65,3,TRUE
ORG4014,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,124,Long-term,Soft Suspended,Service upgrade,Prepaid,PRO,0,6,75,2,FALSE
ORG3466,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Premium Orange Plan,141,Long-term,Hard Suspended,Non-payment,Prepaid,Residential,0,4,65,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Price,Postpaid,Corporate,1,5,42,2,TRUE
ORG3145,FRBNDHJTF NBRLB (PLD PRBNHF NBRLB JT THPP),Orange 60,1,Short-term,Deactive,Service Quality,Postpaid,Residential,1,5,76,2,FALSE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,139,Long-term,Active,Good Service,Postpaid,Corporate,0,8,85,2,TRUE
ORG2253,HPLDFN XJNHT,Student Plan 7,91,Medium-term,Hard Suspended,Illegal usage,Prepaid,Residential,0,5,82,1,TRUE
ORG3176,BL-BTHRBFJFH DFNTFR,Basic Orange Plan,79,Short-term,Active,Good Service,Prepaid,Residential,0,8,65,1,TRUE
ORG2712,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,135,Long-term,Soft Suspended,Document verification,Prepaid,PRO,0,7,75,2,TRUE
ORG3995,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Family Orange Plan 10,93,Medium-term,Soft Suspended,Document verification,Prepaid,Residential,0,10,55,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Network Issues,Postpaid,Corporate,1,5,39,2,FALSE
ORG3404,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Student Plan 5,136,Long-term,Soft Suspended,Technical issue,Prepaid,Residential,0,6,75,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,69,Short-term,Active,Good Service,Postpaid,Corporate,0,5,65,2,TRUE
ORG3995,FRBNDHJTF TNBRTBVZ TBJ NBLL THPP,Visitors’ Line Extra,47,Short-term,Deactive,Price,Prepaid,Residential,1,8,88,3,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Premium Orange Plan,113,Medium-term,Active,Good Service,Prepaid,Corporate,0,2,65,3,FALSE
ORG3592,FRBNDHJTF - JTTRLBL NBLL,Orange 90,90,Medium-term,Active,Good Service,Postpaid,Residential,0,7,65,3,TRUE
ORG2805,FRBNDHJTF THBNFJFT BLLBRBL,Orange 90,42,Short-term,Deactive,Contract Ended,Postpaid,Residential,1,6,57,3,TRUE
ORG3592,FRBNDHJTF - JRBJD DJTZ DFNTFR,Orange 30,68,Short-term,Deactive,Contract Ended,Postpaid,Residential,1,2,57,3,FALSE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Economy Plan,119,Medium-term,Active,Good Service,Postpaid,Corporate,1,6,65,3,FALSE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Economy Plan,119,Medium-term,Active,Good Service,Postpaid,Corporate,1,8,65,3,TRUE
ORG4218,DJRFDT TVPPPRT,Basic Orange Plan,126,Long-term,Hard Suspended,Fraudulent activity,Prepaid,Residential,1,3,65,1,TRUE
ORG3484,DJRFDT PVTTPVRDF THPP,Orange 60,130,Long-term,Active,Good Service,Postpaid,PRO,1,5,85,3,TRUE
ORG3484,DJRFDT PVTTPVRDF THPP,Orange 45,13,Short-term,Deactive,Billing Issues,Postpaid,PRO,1,6,78,3,TRUE
ORG3451,DBV FJFLD TBLFT THPP,Orange 90,51,Short-term,Deactive,Price,Postpaid,Residential,1,8,63,3,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Personal Reasons,Postpaid,Corporate,1,5,45,2,FALSE
ORG2441,FRBNDHJTF BRBBB TBBDBH TT.,Student Plan 5,95,Medium-term,Soft Suspended,Customer request,Prepaid,Residential,0,8,55,1,FALSE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Billing Issues,Postpaid,Corporate,1,6,69,2,TRUE
ORG4101,FRBNDHJTF BBDBLJ,Economy Plan,77,Short-term,Active,Good Service,Postpaid,Residential,0,5,65,3,FALSE
ORG3145,FRBNDHJTF PBNPRBNB NBLL,Orange 90,127,Long-term,Active,Good Service,Postpaid,Residential,0,7,85,3,TRUE
ORG3451,DFBR BLB'B  (JT),Orange 13 Max,68,Short-term,Soft Suspended,Document verification,Prepaid,Residential,0,8,55,1,TRUE
ORG2584,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,146,Long-term,Soft Suspended,Customer request,Prepaid,Residential,0,6,75,1,FALSE
ORG3448,BJRPPRT TFRNJNBL 1,Traveler's Plan,80,Short-term,Hard Suspended,Illegal usage,Prepaid,Residential,0,5,89,1,TRUE
ORG3120,BLBBTHFR FPR TRBDF BND DJTTRJBVTJPN,Premium Orange Plan,94,Medium-term,Hard Suspended,Fraudulent activity,Prepaid,Residential,0,4,81,1,TRUE
ORG3448,BJRPPRT TFRNJNBL 1,Traveler's Plan,103,Medium-term,Hard Suspended,Illegal usage,Prepaid,Residential,0,4,28,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Economy Plan,120,Long-term,Active,Good Service,Postpaid,Corporate,0,1,65,3,TRUE
ORG3448,BJRPPRT TFRNJNBL 1,Orange 8 Max,100,Medium-term,Deactive,Lack of Usage,Prepaid,Residential,1,6,31,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,139,Long-term,Active,Good Service,Postpaid,Corporate,0,7,85,2,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Economy Plan,95,Medium-term,Active,Good Service,Postpaid,Corporate,0,7,65,3,FALSE
ORG2712,JNTFRNBL DFPBRTNFNTT,Family Orange Plan 10,4,Short-term,Deactive,Technical Difficulties,Prepaid,PRO,1,6,54,2,FALSE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Unknown,22,Short-term,Deactive,Technical Difficulties,Postpaid,Corporate,1,5,87,3,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Lack of Usage,Postpaid,Corporate,1,7,82,2,TRUE
ORG2584,HPLDFN NBRL,Student Plan 5,129,Long-term,Soft Suspended,Document verification,Prepaid,Residential,0,6,75,1,TRUE
ORG2504,BLBBTHFR FPR TRBDF BND DJTTRJBVTJPN,Humat Al Watan Golden 7,102,Medium-term,Hard Suspended,Non-payment,Prepaid,Residential,0,1,37,1,TRUE
ORG3299,HPLDFN NBRL,Orange 9 Max,95,Medium-term,Soft Suspended,Document verification,Prepaid,Residential,0,7,55,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,39,Short-term,Deactive,Personal Reasons,Postpaid,Corporate,1,7,73,2,TRUE
ORG3747,HPLDFN XJNHT,Student Plan 5,81,Short-term,Soft Suspended,Technical issue,Prepaid,Residential,0,9,55,1,TRUE
ORG3592,FNTFRPRJTF TBLFT TTPDL,Orange 90,69,Short-term,Active,Good Service,Postpaid,Corporate,0,6,65,2,TRUE
ORG2712,JBRBTH JT THPP,Visitors’ Line Extra,50,Short-term,Deactive,Lack of Usage,Prepaid,Residential,1,7,78,3,FALSE
ORG2495,FRBNDHJTF ZBRRB,Visitors’ Line Extra,7,Short-term,Deactive,Moved,Prepaid,Residential,1,2,87,3,FALSE
ORG2375,BLBBTHFR FPR TRBDF BND DJTTRJBVTJPN,Student Plan 5,70,Short-term,Active,Good Service,Prepaid,Residential,0,3,65,1,TRUE
ORG3132,ZBRRB THPP (ND),Visitors’ Line Extra,82,Short-term,Active,Good Service,Prepaid,Residential,0,5,65,3,FALSE
ORG3484,DJRFDT PVTTPVRDF THPP,Orange 45,4,Short-term,Deactive,Billing Issues,Postpaid,PRO,1,7,61,3,TRUE
ORG4015,BL-NVTBTBXFRB BL-LB NVTBNBHFZB (LJNJTLFTT JNTFRNBTJPNBL),Premium Orange Plan,121,Long-term,Hard Suspended,Fraudulent activity,Prepaid,Residential,0,4,65,1,FALSE
